538.5,46.5,551.5,59.5,538.5,72.5,525.5,59.5
537.5,54.5,549.5,66.5,537,79,525,67
529,69,544,69,544,84,529,84
526,85,541,85,541,99,526,99
525.07,91.825,539.15,92.05,538.89,108.44,524.8,108.22
529,106,539,116,527.5,127.5,517.5,117.5
519.43,118.27,536.33,118.73,535.88,135.27,518.98,134.81
518,129,534,129,534,147,518,147
522.5,140.5,534.5,152.5,522.5,164.5,510.5,152.5
514,155,528,155,528,171,514,171
523.11,168.16,537.03,168.2,536.99,182.12,523.07,182.08
530.37,179.71,541.22,171.02,550.49,182.61,539.63,191.29
540,186,549.5,176.5,559.5,186.5,550,196
551,189,568,189,568,203,551,203
557,200,567.5,189.5,580,202,569.5,212.5
569.5,211.5,579.5,201.5,590.5,212.5,580.5,222.5
580,214,594,214,594,227,580,227
588.09,219.85,602.79,228.68,595.56,240.74,580.85,231.91
596,234,607,234,607,250,596,250
602,243,614,243,614,256,602,256
604.5,263.5,613.5,254.5,623,264,614,273
616.5,262.5,625.5,271.5,616,281,607,272
610.24,267.54,625.81,270.14,623.65,283.11,608.08,280.51
615,265,629,265,629,280,615,280
615.36,273.65,624.86,264.14,635.88,275.15,626.38,284.66
621,266,637,266,637,282,621,282
624.06,268.53,640.08,268.56,640.06,280.02,624.04,279.99
623.44,273.63,633.41,263.64,645.4,275.59,635.42,285.59
635,274,647,274,647,287,635,287
633.79,275.13,647.62,273.6,649.23,288.09,635.4,289.62
636.22,272.78,651.98,272.71,652.05,287.55,636.29,287.61
638,269,653,269,653,285,638,285
647.5,265.5,656,274,647,283,638.5,274.5
637,275,647.5,264.5,659.5,276.5,649,287
639.5,274.5,648,266,659,277,650.5,285.5
642.5,280.5,651.5,271.5,661.5,281.5,652.5,290.5
650.5,274.5,659.5,283.5,650.5,292.5,641.5,283.5
641.5,285.5,651,276,660.5,285.5,651,295
651,279,662,279,662,291,651,291
652,280,663,280,663,293,652,293
649.5,284.5,659,275,669.5,285.5,660,295
